FECHA,HORA,L蚇EA,MOTIVO,DURACION
8/1/2019,21:32:02,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:24:00
3/3/2019,11:52:05,B,Servicio Limitado entre J. M. de Rosas y Medrano,00:23:59
13/10/2019,18:02:03,B,Servicio con demora,00:22:09
17/9/2019,21:30:01,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:22:08
31/3/2019,19:14:07,B,Servicio con demora,00:22:03
22/7/2019,23:48:12,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:22:02
10/5/2019,16:34:02,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,00:22:01
31/5/2019,17:34:03,B,Trenes con destino a Juan Manuel de Rosas no se detienen en Medrano,00:22:00
20/8/2019,19:20:05,B,Servicio con demora,00:21:59
29/1/2019,18:18:10,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:21:59
1/10/2019,20:00:15,B,Servicio con demora debido a una causa t閏nica.,00:21:58
18/3/2019,13:54:08,B,Los trenes no se detienen en Pueyrred髇,00:21:55
27/5/2019,14:38:11,B,Servicio con demora,00:21:51
21/5/2019,09:48:01,B,Servicio con demora debido a un problema t閏nico,00:20:07
8/4/2019,11:20:05,B,Servicio con demora debido a la atenci髇 m閐ica a un usuario,00:20:06
10/6/2019,21:10:02,B,Servicio con demora,00:20:04
29/7/2019,22:04:02,B,Servicio con demora,00:20:01
2/1/2019,13:48:03,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:20:01
22/10/2019,18:02:02,B,Servicio limitado entre las estaciones Alem - Gallardo y Dorrego-Rosas,00:20:00
5/12/2019,17:38:04,B,Servicio limitado: Alem - A. Gallardo y Dorrego - J.M. Rosas,00:19:58
5/7/2019,08:32:11,B,Interrupci髇 debido a un problema t閏nico en una formaci髇,00:19:54
8/5/2019,13:24:09,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:19:53
4/1/2019,21:38:11,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:19:53
20/8/2019,17:20:02,B,Servicio con demora,00:18:08
15/7/2019,12:46:03,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:18:07
23/9/2019,21:30:09,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:18:02
2/7/2019,17:30:02,B,Servicio con demora,00:18:01
8/4/2019,15:52:09,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:18:01
27/2/2019,20:38:05,B,Servicio con demora debido a un problema t閏nico,00:17:59
16/8/2019,22:32:03,B,Servicio con demora debido a un problema t閏nico,00:17:58
25/7/2019,11:42:12,B,Con demora debido a la atenci髇 m閐ica a un usuario a bordo de formaci髇,00:17:53
21/3/2019,10:18:10,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:17:53
2/11/2019,20:40:07,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,00:16:08
24/5/2019,21:58:03,B,Servicio con demora,00:16:06
24/5/2019,11:34:04,B,Con demora debido a la atenci髇 m閐ica a un usuario a bordo de formaci髇,00:16:05
10/5/2019,17:02:04,B,Servicio con demora,00:16:00
7/6/2019,22:12:02,B,Servicio con demora,00:15:59
31/5/2019,21:22:03,B,Servicio Limitado entre J. M. de Rosas y Medrano,00:15:59
3/10/2019,17:36:06,B,Servicio con demora,00:15:56
15/5/2019,16:46:09,B,Servicio con demora,00:15:53
5/7/2019,10:44:10,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:15:52
15/7/2019,15:02:10,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:15:52
18/12/2019,16:44:11,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,00:15:52
27/5/2019,20:30:11,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:15:51
12/10/2019,15:30:12,B,Servicio con demora,00:15:50
20/11/2019,13:44:04,B,Servicio con demora por una formaci髇 detenida debido a una causa t閏nica.,00:14:12
26/3/2019,19:48:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:14:07
14/11/2019,19:52:07,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,00:14:07
15/12/2019,18:26:02,B,Servicio Limitado entre las estaciones Juan Manuel de Rosas y Medrano,00:14:04
10/5/2019,13:56:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:14:03
13/2/2019,20:08:02,B,Interrupci髇 debido a un problema t閏nico en una formaci髇,00:14:02
15/1/2019,23:46:08,B,Los trenes no se detienen en Uruguay con destino a L. N. Alem,00:14:00
6/12/2019,22:34:02,B,Servicio con demora,00:14:00
13/9/2019,10:28:03,B,Con demora debido a la atenci髇 m閐ica a un usuario a bordo de formaci髇,00:13:59
16/10/2019,20:28:11,B,Servicio con demora por formaci髇 detenida debido a una causa t閏nica.,00:13:59
3/9/2019,22:00:11,B,Servicio limitado entre L. N. Alem y Los Incas,00:13:58
27/12/2019,21:14:08,B,Servicio limitado entre las estaciones Leandro N. Alem y Los Incas,00:13:57
18/12/2019,17:08:10,B,Servicio con demora,00:13:52
26/6/2019,12:18:10,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:13:52
9/10/2019,22:52:10,B,Servicio limitado entre las estaciones Juan Manuel de Rosas y Carlos Pellegrini,00:13:52
3/10/2019,16:38:13,B,Servicio con demora por procedimiento policial.,00:13:50
12/9/2019,15:52:03,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:12:08
27/5/2019,14:22:02,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,00:12:08
3/5/2019,13:46:02,B,Servicio con demora,00:12:07
31/10/2019,12:06:03,B,Servicio con demora debido a la atenci髇 m閐ica a un usuario.,00:12:06
11/3/2019,16:24:09,B,Servicio con demora debido a un problema t閏nico,00:12:01
28/11/2019,20:06:12,B,Servicio con demora debido a una causa t閏nica.,00:12:01
23/9/2019,20:44:02,B,Servicio con demora,00:12:00
23/11/2019,21:12:16,B,Los trenes no se detienen en las estaci髇 Ang閘 Gallardo con destino a J. M. Rosas,00:11:53
10/5/2019,14:14:10,B,Servicio con demora,00:11:53
10/6/2019,20:54:09,B,Servicio Limitado entre J. M. de Rosas y Medrano,00:11:53
15/7/2019,16:36:10,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:11:52
7/11/2019,19:50:19,B,Servicio con demora debido a una causa t閏nica.,00:11:45
28/3/2019,21:56:02,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:10:09
12/7/2019,22:50:02,B,Con demora debido a la atenci髇 m閐ica a un usuario a bordo de formaci髇,00:10:07
10/5/2019,13:44:04,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:10:06
22/10/2019,18:36:03,B,Servicio con demora,00:10:05
2/7/2019,19:20:08,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:10:04
18/6/2019,12:38:02,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:10:03
12/8/2019,20:34:03,B,Servicio con demora debido a un problema t閏nico en una formaci髇,00:10:03
20/8/2019,17:04:10,B,Servicio limitado entre Alem - Gallardo y Dorrego-Rosas,00:10:01
11/2/2019,21:26:02,B,Con demora debido a un problema operativo,00:10:00
2/7/2019,10:26:02,B,Servicio con demora,00:09:59
7/10/2019,20:32:05,B,Servicio con demora debido a una causa t閏nica.,00:09:59
15/8/2019,16:56:05,B,Servicio limitado entre L. N. Alem y Federico Lacroze,00:09:59
15/1/2019,23:34:04,B,Los trenes no se detienen en Uruguay,00:09:58
28/3/2019,16:34:04,B,Servicio con demora debido a un problema t閏nico,00:09:58
25/10/2019,21:12:06,B,Servicio limitado entre las estaciones Alem - Galardo y Lacroze - Rosas,00:09:58
9/6/2019,11:48:05,B,Servicio limitado entre Juan Manuel de Rosas y Carlos Pellegrini,00:09:57
25/3/2019,14:32:09,B,Servicio con demora,00:09:55
