orden;Fecha;Linea;Mensaje;Duración;segundos
1082;04.07.2020 09:02:15;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;48:31:54;174714
1083;04.07.2020 09:02:15;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;48:31:54;174714
1084;04.07.2020 09:02:15;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;48:31:54;174714
1085;04.07.2020 09:02:15;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;48:31:54;174714
1086;04.07.2020 09:02:15;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;48:31:54;174714
1087;03.07.2020 09:02:07;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
1088;03.07.2020 09:02:07;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
1089;03.07.2020 09:02:07;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
1090;03.07.2020 09:02:07;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
1091;03.07.2020 09:02:07;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
1092;03.07.2020 09:02:07;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00;86160
1093;02.07.2020 09:02:03;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:07;86047
1094;02.07.2020 09:02:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:07;86047
1095;02.07.2020 09:02:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:07;86047
1096;02.07.2020 09:02:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:07;86047
1097;02.07.2020 09:02:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:07;86047
1098;02.07.2020 09:02:03;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:54:07;86047
1099;01.07.2020 09:02:07;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:56;85916
1100;01.07.2020 09:02:07;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:56;85916
1101;01.07.2020 09:02:07;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:56;85916
1102;01.07.2020 09:02:07;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:56;85916
1103;01.07.2020 09:02:07;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:56;85916
1104;01.07.2020 09:02:07;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:51:56;85916
1105;30.06.2020 09:02:09;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:03;85803
1106;30.06.2020 09:02:09;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:03;85803
1107;30.06.2020 09:02:09;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:03;85803
1108;30.06.2020 09:02:09;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:03;85803
1109;30.06.2020 09:02:09;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:03;85803
1110;30.06.2020 09:02:09;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:03;85803
1111;29.06.2020 23:28:08;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;09:27:56;34076
1112;29.06.2020 23:22:06;D;Ya realiza recorrido completo entre cabeceras.;00:04:03;243
1113;29.06.2020 22:34:10;D;Servicio limitado entre las estaciones Congreso de Tucumán y 9 de Julio;00:46:02;2762
1114;29.06.2020 09:02:07;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:53:57;86037
