orden;Fecha;Linea;Mensaje;Duración
189;04.11.2020 09:10:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;07:30:00
190;04.11.2020 09:10:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00
191;04.11.2020 09:10:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00
192;04.11.2020 09:10:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00
193;04.11.2020 09:10:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00
194;04.11.2020 09:10:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;24:02:00
195;03.11.2020 09:08:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00
196;03.11.2020 09:08:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00
197;03.11.2020 09:08:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00
198;03.11.2020 09:08:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:48:00
199;03.11.2020 09:06:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
200;03.11.2020 09:06:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:50:00
201;02.11.2020 09:04:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:56:00
202;02.11.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
203;02.11.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
204;02.11.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
205;02.11.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
206;02.11.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:58:00
207;01.11.2020 17:52:02;U;Ya realiza su recorrido completo entre cabeceras;00:03:59
208;01.11.2020 17:06:02;U;Servicio limitado entre las estaciones Gral. Lemos y Fco. Lynch;00:44:00
209;01.11.2020 13:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;19:54:00
210;01.11.2020 11:00:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00
211;01.11.2020 11:00:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00
212;01.11.2020 11:00:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00
213;01.11.2020 11:00:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00
214;01.11.2020 11:00:02;E;Inicia servicio a las 10hs por obras de mejora.;02:00:00
215;01.11.2020 11:00:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:54:00
216;31.10.2020 20:54:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;14:02:00
217;31.10.2020 20:52:02;E;Ya realiza recorrido completo entre cabeceras.;00:00:00
218;31.10.2020 20:44:02;E;Servicio limitado entre las estaciones Correo Central y Plaza de los Virreyes;00:06:00
219;31.10.2020 09:02:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
220;31.10.2020 09:02:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
221;31.10.2020 09:02:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
222;31.10.2020 09:02:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
223;31.10.2020 09:02:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;11:40:00
224;31.10.2020 09:02:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;25:54:00
225;30.10.2020 16:12:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;16:46:00
226;30.10.2020 16:10:01;H;Ya realiza recorrido completo entre cabeceras.;00:00:00
227;30.10.2020 15:48:02;H;Servicio limitado entre las estaciones Facultad de Derecho y Corrientes;00:20:01
228;30.10.2020 09:06:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
229;30.10.2020 09:06:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
230;30.10.2020 09:06:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
231;30.10.2020 09:06:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
232;30.10.2020 09:06:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
233;30.10.2020 09:06:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;06:40:00
234;29.10.2020 15:48:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;17:09:59
235;29.10.2020 15:46:03;C;Ya realiza recorrido completo entre cabeceras.;00:00:00
236;29.10.2020 14:44:03;C;Servicio limitado entre las estaciones Diagonal Norte y Constitución;00:59:58
237;29.10.2020 11:42:03;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:15:59
238;29.10.2020 11:20:03;E;Normaliza su servicio;00:19:59
239;29.10.2020 09:36:03;E;Servicio con demora;01:42:00
240;29.10.2020 09:06:02;A;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
241;29.10.2020 09:06:02;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
242;29.10.2020 09:06:02;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;05:36:00
243;29.10.2020 09:06:02;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
244;29.10.2020 09:06:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;00:28:00
245;29.10.2020 09:06:02;H;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:52:00
246;28.10.2020 11:42:02;E;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;21:18:00
247;28.10.2020 11:30:03;E;Normaliza su servicio;00:09:59
248;28.10.2020 10:40:02;E;Servicio con demora;00:48:00
249;28.10.2020 09:06:03;B;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:53:59
250;28.10.2020 09:06:03;C;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:53:59
251;28.10.2020 09:06:03;D;Por protocolo de prevención: circula con un servicio especial. Info www.metrovias.com.ar;23:53:59
